lex	Str	vowels
dhʌ́dhēdhʌ́n	CV̈CVCV̈	ëeë
dhʌ́dhēn	CV̈CV	ëe
dhʌ́dhɛ̏nwȕn	CV̈CVwVC	ëɛwu
dhʌ́dhōŋ-dhȕn	CV̈CVCC CV	ëo u
dhʌ́n	CV̈	ë
-dhʌ́n	CV̈	ë
dhʌ́n púu	CV̈ CVV	ë uu
dhʌ́n sɛ́ɛ̈n	CV̈ CVVC	ë ɛɛ
dhʌ́n sɛ́ɛ̈n dhȕn bhȁ blʌ̏ʌ	CV̈ CVVC CV CV CCV̈V̈	ë ɛɛ u a ëë
dhʌ́ngɔ̄ɔ̂dhʌ́n	CV̈CVVCCV̈	ëɔɔë
dhʌ́ngɔ̄ɔ̂n	CV̈CVVC	ëɔɔ
dhʌ́ngɔ̄ɔ̂nzʌ̏	CV̈CVVCCV̈	ëɔɔë
dhʌ̀ŋ	CV̈CC	ë
dhʌ̀ŋ	CV̈CC	ë
dhʌ̏ŋkúʌ̈dhē	CV̈CCCVV̈CV	ëuëe
dhʌ̀ŋzʌ̏	CV̈CCCV̈	ëë
-dhȅ	CV	e
dhē	CV	e
dhē	CV	e
dhē gbóȍ	CV CCVV	e oo
dhèā	CVV	ea
dhēbɔ̏	CVCV	eɔ
dhēbhɛ̏ndʌ̄	CVCVCV̈	eɛë
dhédhéngbȁa	CVCVCCVV	eeaa
dhèe	CVV	ee
dhée	CVV	ee
dhée	CVV	ee
dhéepɛ̏n	CVVCVC	eeɛ
dhéesȕɤ	CVVCVV̈	eeuö
dhēglú	CVCCV	eu
dhēglúdhʌ́dhēn	CVCCVCV̈CV	euëe
dhēglúdhʌ́dhēnzʌ̏	CVCCVCV̈CVCV̈	euëeë
dhēglúdhʌ́ngɔ̄ɔ̏n	CVCCVCV̈CVVC	euëɔɔ
dhēglúdhʌ́ngɔ̄ɔ̏nzʌ̏	CVCCVCV̈CVVCCV̈	euëɔɔë
dhēglúdhēbɔ̏	CVCCVCVCV	eueɔ
dhēglúdhēzʌ̏	CVCCVCVCV̈	eueë
dhēglúgɔ̄ɔ̏dhʌ́nzʌ̏	CVCCVCVVCCV̈CV̈	euɔɔëë
