id	\le	\leor	\ph	\u	\voc	\voir	\key	\src	\ps	\psr	\pf	\pfr	\pff	\dt	\ge	\gf	\gr	\egr	\ege	\egf
1612	kwa	kwa-		kwā + ȁ	a			LJ	pron	л.мест	<*kwā ȁ>	<*kwā ȁ>	<*kwā ȁ>	14/Dec/2008				стяжённая форма: субъектное инклюзи\вное местоиме\ние 1 л. мн.ч.: "мы и вы", "я и вы", "мы и ты"  быти\йной се\рии + несубъектное местоимение 3	a contractive form: subject existential 1 pers. pl inclusive pronoun: "we and you (sg.)", "we and you (pl.), "I and you (pl.)" + non-subject 3 sg. pronoun	
1613	kwàȁ	=kwaa-			aa		Human Part	MB, MG, LJ, GJ, CE	n	сущ				07/Dec/2008						
1614	kwàa	=kwaa'-			aa ~ a?	CVV-LNAF		GJ, SB, LJ	v	гл				22/Jan/2011						
1615	kwāa	kwaa			aa			LJ	pron	л.мест				29/Nov/2008	1PL.INCL.NEG.PFV	1PL.INCL.NEG.PFV	1PL.INCL.NEG.PFV			
1616	kwāȁ	kwaa-						LJ	pron	л.мест	<*kwā ɓȁ>	<*kwā ɓȁ>	<*kwā ɓȁ>	03/Dec/2008	1PL.INCL.POSS	1PL.INCL.POSS	1PL.INCL.POSS			
1617	kwāȁ	kwaa-			aa			LJ	pron	л.мест				03/Dec/2008	1PL.INCL.and	1PL.INCL.et	1PL.INCL.и			
1618	kwáa	'kwaa			aa			LJ, EF	pron	л.мест				29/Nov/2008	1PL.INCL.NEG.IPFV	1PL.INCL.NEG.IPFV	1PL.INCL.NEG.IPFV			
1619	kwáâ	'kwaa-			aa		Liquid	DJ, -LJ	n	сущ				17/Jul/2008						
1620	kwàabhɛ̏n	=kwaanmɛ	[=kwaan -mɛ]					DJ, --LJ	n	сущ				22/Aug/2007						
1621	kwàan	=kwaan			a̰a̰	CVV-LL		MG, LJ, DJ	v	гл	<*theft>			22/Jan/2011						
1622	kwáân	'kwaan-						LJ	pron	л.мест				01/Dec/2008	1PL.INCL.PURP	1PL.INCL.PURP	1PL.INCL.PURP			
1623	kwàanglȕdȁbhɛ̏n	=kwaangludamɛ	[=kwaan -glu -da -mɛ]				Human	LJ	n	сущ				22/Aug/2007						
1624	kwàansɯ̏	=kwaansü	[=kwaan -sü]					GJ, LJ	adj	прил				29/Nov/2008						
1625	kwāazʌ̏	kwaazë	[kwaa- -zë]		aa			LJ	adj	прил				23/Oct/2008						
1626	kwāká	kwaka	[kwa 'ka]											29/Nov/2008						
1627	kwán	'kwan						LJ	n	сущ				03/Dec/2008						
1628	kwāŋ̏	kwang-						LJ	pron	л.мест	<kwā nȕ>			07/Dec/2008	1PL.INCL.3SG	1PL.INCL.3SG	1PL.INCL.3SG			
1629	kwæ̀æ	=kwɛa			ɛa		Time		adv	нар				18/Oct/2008						
1630	kwǽæ	'kwɛa			ɛa		Human	DJ, LJ, SB	n	сущ				03/Dec/2008						
1631	kwǽæ̏dhɛn	'kwɛandhɛ	['kwɛan- -dhɛ]		ɛ̰a̰ ~ ɛ̰ɛ̰?		Artifact Object Group Building	MB	loc.n	сущ				03/Dec/2008						
1632	kwǽæ̏dhɤ̄n	'kwɛandhö	['kwɛan- dhö]					DJ, OD	loc.n	сущ.лок				03/Dec/2008						
1633	kwǽæ̏n	'kwɛan-			ɛ̰a̰			SB, LJ	n	сущ				23/Oct/2008	compound(family)	concession	двор			
1634	kwʌ̄ʌ̏	kwëë-												03/Dec/2008						
1635	kwēe	kwee			ee		Natural	BE, LJ, DJ	n	сущ	<*salt>									
1636	kwēezʌ̏	kweezë	[kwee -zë]					LJ	adj	прил				22/Aug/2007						
1637	kwēezɤ̄	kweezö	[kwee zö]				Natural	LJ	n	сущ				22/Aug/2007						
1638	kwɛ̏	-kwɛ					Time Static	MG, LJ	n	сущ	<*year-2>			23/Oct/2008	year	an	год			
1639	kwɛ̄	kwɛ					Living Part	GA, MA KD, LJ	n	сущ				29/Nov/2008						
1640	kwɛ̀ɛ̏	=kwɛɛ-			ɛɛ		Human Part	MB, MG, LJ	n	сущ				22/Jun/2010						(varie selon la préférence du locuteur)
1641	kwɛ̀ɛ̏	=kwɛɛ-			ɛɛ			DJ, BE, GJ, CE, SB, LJ	n	сущ				11/Jul/2008						
1642	kwɛ̀ɛ̄	=kwɛɛ'			ɛɛ ~ ɛa?	CVV-LNAF	BoundedEvent Condition Physical Quantity	GJ, OD, LJ	v	гл				22/Jan/2011						
1643	kwɛ̀ɛ̄	=kwɛɛ'			ɛɛ ~ ɛa?	CVV-LNAF		OD, --LJ	n	сущ				29/Nov/2008						
1644	kwɛ̄ɛ	kwɛɛ			ɛɛ		Human Part	DJ, LJ	n	сущ				23/Oct/2008						
1645	kwɛ́ɛ	'kwɛɛ			ɛɛ ~ ɛi									22/Aug/2007						
