id_ms	type	trans	ortho	\trr	\smr	\tre	\sme	\trf	\smf	\src
168_0	\ex	bhɤ̏ bhnlɯ̏ bhʌ̄ ȁ dān ~	-bhö -mlü bhë -a dan -buadhö							
170_0	\ex	~ yȁ bhȁn kȕn	buënpë -ya -ma -kun							
172_0	\ex	... ɤ́ lùu ~	... 'ö =luu 'budhö							
176_0	\ex	wèeyȉ wāa dhāŋ̂ ȁn yán yɤ̏ ~	=weeyi waa dhang- -an 'yan -yö 'bulazë							
177_1	\ex	kwɛ̀ŋ zɯ́ bhʌ̄ gɔ́ dhȕn wȍ dhó dhȁn tá gɯ́, ȁn būn wö wō dhúun gɯ́	=kwɛng 'zü bhë 'gɔ -nu -wo 'dho -na 'ta 'gü, -an bun 'wo- wo 'nuu 'gü							
177_1	\idi	bȕn tūɤ	-bun tuö							
177_2	\ex	bhɛ̄n ɤ́ dhō n̄ {dȅ} būn ä bhɛ̀ɛn	mɛ 'ö dho n {-de} bun 'a- =mɛɛ							
177_3	\ex	dhʌ́n dhȕn wó dhɛ̀n ȁn ~ dhɛ̏ yáadhɤ̄	'në -nu 'wo =nɛ -an bun -dhɛ 'yaa dhö							
183_0	\ex	yà trúu pȉɤ ~	=ya 'truu -piö buudhö							
184_0	\ex	ȁ bhȁ bhɯ̄ɤ yɤ̏ ~	-a -bha bhüö -yö 'büëngbüëng							
185_0	\ex	kā kwɛ́ɛ pȍ bɯ̄ʌŋbɯ̄ʌŋdhɤ	ka 'kwɛɛ -po büëngbüëngdhö							
186_2	\ex	yɤ̏ zȉɤ n̄ tȁ bɯ̏dhɤ̄	-yö -ziö n -ta -büdhö							
187_0	\ex	yà kwɛ̀ɛ̏ kpɤ̄ sɯ́ ~	=ya =kwɛɛ- kpö 'sü 'büdhö							
188_0	\ex	tɔ̏ ~	-tɔ -bünng							
188_0	\idi	bɯ̏ŋ bhō	-bünng bho					réduire en pâte		LJ
189_0	\ex	yɤ̏ bɯ̏ɤ dhȉadhíɤ tīi gɯ́	-yö -büö -dhia 'dhiö tii 'gü							
193_2	\idi	sú bhȁ	'su -bha							
193_6	\ex	kōŋ kō ~	kong ko -bha							
193_6	\idi	yȁ ~	-ya -bha							
193_6	\ex	yȁ bhȁ kɤ̄ á n̄ bhȁn yūɤ dhíɤ tó	-ya -bha kö 'a n -ma yuö 'dhiö 'to							
193_6	\idi	ɤ̄ ~	ö -bha							
196_0	\ex	lɯ́ ɤ́ bhʌ̄ yáa bhā	'lü 'ö bhë 'yaa bha							
200_1	\ex	Kābhʌ̄n bhȁ kɔ́ yɤ̏ Yúu ~	Kamë -bha 'kɔ -yö 'Yuu =bhaa							
200_1	\idi	yóo ~ yúɤ̈	'yoo =bhaa 'yuö-							
200_3	\idi	kó ~	'ko =bhaa							
202_1.1	\ex	bhɛ̄n ~ dhȕn wȍ dhȍ Dæ̏æ gɔ̏ bhlɤ̀ɤ̏, ɤ̈ ~ dhȕn dhō Zée gɔ̏ bán tȁ	mɛ 'bhaa -nu -wo -dho -Dɛa -gɔ =bhlöö-, 'ö- 'bhaa -nu dho 'Zee -gɔ 'ban -ta							
202_1.1	\idi	tʌ́ŋ ~ bhȁ	'tëng 'bhaa -bha							
202_1.2	\ex	yī ~ dhȕn ká ɤ́ dɔ̄n zʌ̄	yi 'bhaa -nu 'ka 'ö dɔn zë							
202_1.2	\idi	à ~ dhȕn wà kʌ̄	=a 'bhaa -nu =wa kë							
202_2	\ex	kɔ́ ~ yáa Yúu bhàa	'kɔ 'bhaa 'yaa 'Yuu =bhaa							
202_2	\idi	~ gbɛ̄	'bhaa gbɛ							
203_0	\ex	bhʌ̏n ɤ́ kʌ̏ ɤ́ ~ kpáakpȁ dhɛ̏ dàân dhɛ̀ɛn?	-më 'ö -kë 'ö 'bhaa 'kpaa -kpa -dhɛ =daan'- =nɛɛ?							
204_0	\ex	bèê bhʌ̄ ȁ bhɤ̏ dhɛ̏ yáa bhȁ zlɤ̄ɤ, yà kʌ̄ ~ dùɤ	=bee'- bhë -a -bhö -dhɛ 'yaa -bha zlöö, =ya kë 'bhaa =duö							
207_0	\ex	ɯ̄ ɯ̄ dȅ bhàan bhȁn wáawá, ɯ̄ká dhɤ́ zīɤ n̄ píɤ	ü ü -de =maa -ma 'waa 'wa, ü 'ka 'dhö ziö n 'piö							
208_0	\ex	bhnlɯ̏ bhʌ̄, kä pɤ̄ kä káa yɤ̄, kȁa yɤ̄ bhɔ̀ɔ̄ gɯ́ kɤ̄ kä bhàân	-mlü bhë, 'ka- pö 'ka- 'kaa yö, -kaa yö =bhɔɔ' 'gü kö 'ka- =maa'-							
210_0	\ex	~ bhɯ̏n sùa wó kʌ̏ n̄ gɔ̏	'maa -mü =sua 'wo -kë n -gɔ							
211_0	\idi	~bhɛ̏n	-maakëmɛ							
212_1	\idi	yàȁ kʌ̄ ~	=yaa- kë -bhaazë							
212_1	\idi	yà ɤ̄ dȅ kʌ̄ ~	=ya ö -de kë -bhaazë							
218_0	\ex	tȅdhʌ́n wāâ dɒ̄ɒn ȁn bhȁ ~ yɤ̏ kʌ̏ gláaglā	-tenë waa- daɔn -an -bha 'bhadhɛ -yö -kë 'glaagla							
218_0	\idi	~ kún	'bhadhɛ 'kun							
218_0	\ex	wà ~ kún wō kó ká	=wa 'bhadhɛ 'kun wo 'ko 'ka							
218_0	\ex	bhɯ́ɯ wāâ dīɔŋ wà ~ kún	'bhüü waa- diɔng =wa 'bhadhɛ 'kun							
219_1	\idi	gɛ̏n ~ sīâ	-gɛn -ma sia-					taper du pied		LJ
219_1	\idi	kɔ̏ ~	-kɔ -ma (pë) -ta							
219_1	\ex	bhá wún yɤ̏ yāan sɯ̏ zʌ̏ kʌ̄ ɯ̄ dhɤ̏ bhȁn!	'bha 'wun -yö yaan -sü -zë kë ü -dhö -ma!							
